"System Name","Body Name","Body Subtype","Is Terraformable","Distance To Arrival","Estimated Scan Value","Estimated Mapping Value","Jumps"
"HIP 30310","HIP 30310 B 1","High metal content world","Yes","4008","148796","495986","1"
"Synuefe FX-J c25-0","Synuefe FX-J c25-0 1","High metal content world","Yes","443","150917","503056","1"
"RW Doradus","RW Doradus AB 5","Class II gas giant","No","1906","30201","100669","1"
"Nu Doradus","Nu Doradus 1","Metal-rich body","No","214","31319","104396","1"
"HIP 38568","HIP 38568 5","High metal content world","Yes","843","186173","620576","2"
"HIP 38568","HIP 38568 6","Water world","No","1233","109135","363783","0"
"Synuefe II-I c26-0","Synuefe II-I c26-0 C 3","High metal content world","Yes","28137","179168","597226","1"
"HIP 47657","HIP 47657 1","High metal content world","Yes","285","156228","520759","1"
"HIP 47657","HIP 47657 4","High metal content world","Yes","367","147422","491406","0"
"HIP 47657","HIP 47657 2","High metal content world","Yes","370","148728","495759","0"
"HIP 47657","HIP 47657 3","High metal content world","Yes","370","152918","509726","0"
"O Velorum","O Velorum 5","Water world","No","7017","156183","520609","1"
"HR 3837","HR 3837 A 5","Water world","No","4510","114584","381946","1"
"HIP 45026","HIP 45026 2","High metal content world","Yes","845","191418","638059","1"
"HIP 45026","HIP 45026 3 a","Rocky body","Yes","1179","130369","434563","0"
"HIP 45026","HIP 45026 3","Water world","Yes","1180","311218","1037393","0"
"HIP 40703","HIP 40703 1","Metal-rich body","No","17","35069","116896","2"
"HIP 40703","HIP 40703 2","Metal-rich body","No","31","35229","117429","0"
"IC 2391 Sector DB-X c1-0","IC 2391 Sector DB-X c1-0 8","Class II gas giant","No","3031","31156","103853","2"
"HIP 50221","HIP 50221 4","High metal content world","Yes","2394","177121","590403","2"
"HIP 50221","HIP 50221 5","Water world","Yes","3286","285655","952183","0"
"HIP 50221","HIP 50221 6","Earth-like world","No","4157","295709","985696","0"
"HIP 47275","HIP 47275 4","High metal content world","Yes","1087","168816","562719","1"
"HIP 43803","HIP 43803 1","Metal-rich body","No","107","33123","110409","2"
"HIP 39684","HIP 39684 1","Metal-rich body","No","184","31253","104176","1"
"HIP 48458","HIP 48458 A 6","High metal content world","Yes","2196","173640","578799","2"
"HIP 48458","HIP 48458 B 6","Earth-like world","No","27835","263169","877229","0"
"HIP 48458","HIP 48458 B 7","Water world","Yes","28011","263611","878703","0"
"Musca Dark Region DQ-Y c0","Musca Dark Region DQ-Y c0 A 6","High metal content world","Yes","465","171551","571836","1"
"IC 2602 Sector KC-V c2-0","IC 2602 Sector KC-V c2-0 1","High metal content world","Yes","299","152613","508709","1"
"IC 2602 Sector KC-V c2-0","IC 2602 Sector KC-V c2-0 2","High metal content world","Yes","419","153526","511753","0"
"IC 2602 Sector QD-T c3-0","IC 2602 Sector QD-T c3-0 A 1","Metal-rich body","No","22","36782","122606","1"
"HIP 40725","HIP 40725 B 4","High metal content world","Yes","280784","165513","551709","1"
"HIP 28306","HIP 28306 2","High metal content world","Yes","1179","189723","632409","2"
"HIP 28306","HIP 28306 3","High metal content world","Yes","1599","179057","596856","0"
"HIP 27983","HIP 27983 5","Water world","No","2488","109829","366096","1"
"Synuefe WU-F c27-0","Synuefe WU-F c27-0 5","Water world","No","263","102471","341569","1"
"Delta Mensae","Delta Mensae B 1","High metal content world","Yes","11959","164410","548033","1"
"Delta Mensae","Delta Mensae B 3","High metal content world","Yes","12115","160721","535736","0"
"Delta Mensae","Delta Mensae B 5","Water world","No","12120","95835","319449","0"
"Delta Mensae","Delta Mensae B 2","Water world","Yes","12159","259740","865799","0"
"Delta Mensae","Delta Mensae B 4","Water world","No","12257","98479","328263","0"
"Delta Mensae","Delta Mensae B 6","Water world","No","12517","95644","318813","0"
"Synuefe YP-F c27-0","Synuefe YP-F c27-0 A 2","Class II gas giant","No","1619","30190","100633","2"
"HIP 7264","HIP 7264 A 7","High metal content world","Yes","705","167193","557309","2"
"HIP 7264","HIP 7264 A 8","High metal content world","Yes","707","166889","556296","0"
"HIP 7264","HIP 7264 B 4","Water world","Yes","5217","253297","844323","0"
"HIP 7264","HIP 7264 B 2","High metal content world","Yes","5305","148493","494976","0"
"HIP 5695","HIP 5695 B 1","Metal-rich body","No","19771","31043","103476","1"
"HR 8849","HR 8849 8 a","Rocky body","Yes","2979","130836","436119","2"
"HR 8849","HR 8849 8","High metal content world","Yes","2981","190268","634226","0"
"Xi Octantis","Xi Octantis 1","Metal-rich body","No","175","36105","120349","1"
"Xi Octantis","Xi Octantis 3","Metal-rich body","No","262","36378","121259","0"
"Xi Octantis","Xi Octantis 15 a","Rocky body","Yes","5323","128999","429996","0"
"Xi Octantis","Xi Octantis 16","Water world","No","6977","144199","480663","0"
"Xi Octantis","Xi Octantis 16 a","Water world","Yes","7003","293004","976679","0"
"HIP 116145","HIP 116145 6 a","Water world","Yes","2527","257971","859903","1"
"Swoilz PZ-C c1-0","Swoilz PZ-C c1-0 A 1","High metal content world","Yes","503","177995","593316","1"
"Swoilz PZ-C c1-0","Swoilz PZ-C c1-0 A 2","Water world","Yes","682","280834","936113","0"
"HIP 63794","HIP 63794 A 4","Water world","Yes","2852","275634","918779","3"
"HIP 63794","HIP 63794 A 6","High metal content world","Yes","3741","163422","544739","0"
"HIP 63794","HIP 63794 A 5","High metal content world","Yes","3747","163660","545533","0"
"Swoilz DN-F c0","Swoilz DN-F c0 A 2","High metal content world","Yes","270","157108","523693","2"
"Swoilz DN-F c0","Swoilz DN-F c0 A 3","High metal content world","Yes","439","156481","521603","0"
"Swoilz DN-F c0","Swoilz DN-F c0 B 3","Water world","No","11320","90699","302329","0"
"HIP 87350","HIP 87350 B 5","High metal content world","Yes","4701","159672","532239","2"
"HIP 87350","HIP 87350 B 6","High metal content world","Yes","5066","174330","581099","0"
"HIP 87350","HIP 87350 B 7","High metal content world","Yes","5423","163664","545546","0"
"Swoilz MU-B c2-0","Swoilz MU-B c2-0 3","Water world","No","441","103783","345943","1"
"61 G. Apodis","61 G. Apodis 5","High metal content world","Yes","2746","188379","627929","2"
"61 G. Apodis","61 G. Apodis 6","High metal content world","Yes","2751","176706","589019","0"
"61 G. Apodis","61 G. Apodis 7","High metal content world","Yes","3635","192719","642396","0"
"61 G. Apodis","61 G. Apodis 8","High metal content world","Yes","5115","188999","629996","0"
"HIP 80177","HIP 80177 4","Ammonia world","No","3115","166734","555779","2"
"HIP 81077","HIP 81077 B 2","Earth-like world","No","25425","279156","930519","1"
"Atria","Atria A 1","Metal-rich body","No","1198","31198","103993","2"
"Praea Euq FF-A c0","Praea Euq FF-A c0 A 3","High metal content world","Yes","140","151733","505776","3"
"HIP 63797","HIP 63797 A 5","High metal content world","Yes","869","164296","547653","2"
"HIP 63797","HIP 63797 A 6","Earth-like world","No","872","263681","878936","0"
"HIP 63797","HIP 63797 A 7","Water world","Yes","1208","270504","901679","0"
"HR 4448","HR 4448 5","High metal content world","Yes","4239","158455","528183","1"
"Col 285 Sector RD-I c10-0","Col 285 Sector RD-I c10-0 A 5","High metal content world","Yes","260","189567","631889","2"
"Col 285 Sector RD-I c10-0","Col 285 Sector RD-I c10-0 A 6","Water world","Yes","369","305177","1017256","0"
"t-1 Carinae","t-1 Carinae BC 1","High metal content world","Yes","6086","149586","498619","1"
"t-1 Carinae","t-1 Carinae BC 2","High metal content world","Yes","6150","153917","513056","0"
"153 G. Carinae","153 G. Carinae B 1","High metal content world","Yes","10454","148369","494563","2"
"IC 2602 Sector WU-X c1-0","IC 2602 Sector WU-X c1-0 D 5","High metal content world","Yes","13643","170789","569296","2"
"IC 2602 Sector WU-X c1-0","IC 2602 Sector WU-X c1-0 D 7","Water world","Yes","13916","287575","958583","0"
"IC 2602 Sector WU-X c1-0","IC 2602 Sector WU-X c1-0 D 6","Water world","Yes","13917","290217","967389","0"
"HIP 45796","HIP 45796 8","High metal content world","Yes","2506","192208","640693","2"
"HIP 44568","HIP 44568 4","High metal content world","Yes","2630","168865","562883","1"
"HIP 44568","HIP 44568 3","High metal content world","Yes","2632","176703","589009","0"
"HIP 44568","HIP 44568 5","Water world","No","3354","112019","373396","0"
"Wregoe GD-I c23-0","Wregoe GD-I c23-0 B 6","High metal content world","Yes","2971","155452","518173","1"
"HIP 41939","HIP 41939 7","High metal content world","Yes","3036","171216","570719","1"
"HIP 41939","HIP 41939 8 a","Rocky body","Yes","4440","129300","430999","0"
"HIP 41939","HIP 41939 8","Water world","Yes","4448","301799","1005996","0"
"Wregoe ZB-K c22-0","Wregoe ZB-K c22-0 A 1","High metal content world","Yes","235","167385","557949","1"
"Wregoe XG-K c22-0","Wregoe XG-K c22-0 A 1","Metal-rich body","No","13","32333","107776","1"
"Wregoe WG-K c22-0","Wregoe WG-K c22-0 3","Water world","No","100","108444","361479","1"
"Wregoe WG-K c22-0","Wregoe WG-K c22-0 4","Water world","No","178","107734","359113","0"
"HR 3597","HR 3597 1","Metal-rich body","No","159","31737","105789","1"
"HIP 42029","HIP 42029 9","Water world","Yes","2455","302114","1007046","1"
"HR 3281","HR 3281 7","High metal content world","Yes","2809","192504","641679","1"
"HR 3324","HR 3324 A 1","Metal-rich body","No","159","33077","110256","1"
"HR 3324","HR 3324 A 3","High metal content world","Yes","3425","181811","606036","0"
"Col 285 Sector PC-T c4-0","Col 285 Sector PC-T c4-0 2","Ammonia world","No","866","141422","471406","1"
"HIP 40136","HIP 40136 A 3","High metal content world","Yes","789","147025","490083","2"
"HIP 40136","HIP 40136 A 4","High metal content world","Yes","1114","147329","491096","0"
"HIP 40915","HIP 40915 A 9","High metal content world","Yes","251","165111","550369","2"
"HIP 40915","HIP 40915 A 10","Water world","Yes","358","306217","1020723","0"
"HIP 42968","HIP 42968 A 2","Ammonia world","No","1169","179987","599956","1"
"HIP 49256","HIP 49256 3","High metal content world","Yes","738","168164","560546","2"
"HIP 49256","HIP 49256 4","High metal content world","Yes","992","173246","577486","0"
"HIP 49256","HIP 49256 7","Water world","No","1633","95067","316889","0"
"HIP 55769","HIP 55769 1","Metal-rich body","No","30","34441","114803","2"
"Wregoe TM-H c24-0","Wregoe TM-H c24-0 A 1","High metal content world","Yes","322","174891","582969","2"
"Wregoe TM-H c24-0","Wregoe TM-H c24-0 A 2","High metal content world","Yes","428","159422","531406","0"
"Wregoe TM-H c24-0","Wregoe TM-H c24-0 BC 1","Class II gas giant","No","248004","30464","101546","0"
"Wregoe WX-F c25-0","Wregoe WX-F c25-0 1","High metal content world","Yes","253","169342","564473","2"
"HIP 56631","HIP 56631 A 6","High metal content world","Yes","2363","181663","605543","1"
"HIP 56631","HIP 56631 A 7","High metal content world","Yes","3223","171899","572996","0"
"HIP 56631","HIP 56631 B 1","Metal-rich body","No","320038","34288","114293","0"
"HIP 56864","HIP 56864 9","Water world","No","4462","95171","317236","2"
"Col 285 Sector FR-K c9-0","Col 285 Sector FR-K c9-0 4","Water world","No","198","99749","332496","1"
"Col 285 Sector FR-K c9-0","Col 285 Sector FR-K c9-0 5","Water world","No","315","100117","333723","0"
"Col 285 Sector FR-K c9-0","Col 285 Sector FR-K c9-0 6","Water world","No","480","112167","373889","0"
"HIP 57822","HIP 57822 B 3","Earth-like world","No","12734","285878","952926","1"
"HIP 57822","HIP 57822 B 1","High metal content world","Yes","12960","189394","631313","0"
"HIP 57822","HIP 57822 B 5","Water world","No","14360","116934","389779","0"
"HR 4473","HR 4473 3","High metal content world","Yes","2404","177448","591493","1"
"Col 285 Sector HM-K c9-0","Col 285 Sector HM-K c9-0 3","High metal content world","Yes","381","157791","525969","1"
"Col 285 Sector HM-K c9-0","Col 285 Sector HM-K c9-0 4","High metal content world","Yes","475","164811","549369","0"
"Col 285 Sector HM-K c9-0","Col 285 Sector HM-K c9-0 5","Water world","Yes","608","274121","913736","0"
"Col 285 Sector HM-K c9-0","Col 285 Sector HM-K c9-0 6","Water world","No","900","93669","312229","0"
"HIP 53095","HIP 53095 1","Water world","Yes","377","268735","895783","1"
"HIP 53095","HIP 53095 3","Water world","No","641","97331","324436","0"
"HIP 50779","HIP 50779 A 1","High metal content world","Yes","252","178966","596553","1"
"HIP 50779","HIP 50779 A 2","High metal content world","Yes","369","169154","563846","0"
"HIP 50779","HIP 50779 B 1","Water world","Yes","62085","273912","913039","0"
"HR 3810","HR 3810 A 1","Metal-rich body","No","101","36437","121456","1"
"HIP 44175","HIP 44175 C 1","Metal-rich body","No","56743","33916","113053","1"
"HIP 43655","HIP 43655 B 3","Water world","No","30789","109228","364093","1"
"HIP 43655","HIP 43655 B 1","Metal-rich body","No","31875","32682","108939","0"
"HIP 36119","HIP 36119 A 4","High metal content world","Yes","431","159553","531843","3"
"HIP 36119","HIP 36119 A 5","High metal content world","Yes","607","162619","542063","0"
"HIP 36119","HIP 36119 B 5","High metal content world","Yes","6026","150810","502699","0"
"HIP 36119","HIP 36119 B 6","High metal content world","Yes","6026","149470","498233","0"
"HIP 36119","HIP 36119 B 3","High metal content world","Yes","6075","154770","515899","0"
"HIP 36119","HIP 36119 B 4","High metal content world","Yes","6076","149928","499759","0"
"HIP 45623","HIP 45623 5","High metal content world","Yes","1060","162237","540789","2"
"HIP 45623","HIP 45623 6","Water world","Yes","1379","261524","871746","0"
"l Velorum","l Velorum 6","High metal content world","Yes","3133","192823","642743","1"
"HIP 49721","HIP 49721 A 2","Water world","No","898","98953","329843","1"
"HIP 45139","HIP 45139 1","Water world","Yes","448","293570","978566","1"
"Col 285 Sector IW-L c8-0","Col 285 Sector IW-L c8-0 3","High metal content world","Yes","208","161688","538959","1"
"HIP 50116","HIP 50116 C 2","Water world","Yes","58494","271669","905563","1"
"HIP 50116","HIP 50116 C 3","Water world","No","58784","97869","326229","0"
"Wregoe IJ-G c24-0","Wregoe IJ-G c24-0 A 1","Metal-rich body","No","18","34131","113769","1"
"HIP 44508","HIP 44508 7","High metal content world","Yes","631","178901","596336","1"
"HIP 44508","HIP 44508 8","High metal content world","Yes","890","186744","622479","0"
"O Puppis","O Puppis B 2","Water world","No","15141","101940","339799","2"
"O Puppis","O Puppis B 1 a","Rocky body","Yes","17983","127547","425156","0"
"O Puppis","O Puppis B 1","High metal content world","Yes","17987","178311","594369","0"
"Synuefe YA-M c24-0","Synuefe YA-M c24-0 1","High metal content world","Yes","249","155916","519719","1"
"HIP 39510","HIP 39510 1","Metal-rich body","No","14","34955","116516","2"
"HIP 33306","HIP 33306 3","High metal content world","Yes","1560","161769","539229","1"
"HIP 33306","HIP 33306 4","Water world","Yes","2189","255325","851083","0"
"HIP 33306","HIP 33306 5","Water world","Yes","2838","256433","854776","0"
"HIP 40630","HIP 40630 A 1","High metal content world","Yes","232","166706","555686","1"
"HIP 40630","HIP 40630 A 2","Water world","Yes","341","289814","966046","0"
"HIP 40630","HIP 40630 A 4","Water world","No","868","98215","327383","0"
"HIP 37257","HIP 37257 5","High metal content world","Yes","1198","165483","551609","1"
"HIP 37257","HIP 37257 7","Water world","No","3677","103307","344356","0"
"HIP 39825","HIP 39825 1","Metal-rich body","No","152","31928","106426","1"
"HIP 39825","HIP 39825 4","High metal content world","Yes","2262","192184","640613","0"
"HIP 43106","HIP 43106 3","High metal content world","Yes","2162","189040","630133","1"
"HIP 43106","HIP 43106 4","Water world","Yes","2988","299498","998326","0"
"HR 3695","HR 3695 5","High metal content world","Yes","2610","160871","536236","2"
"HR 3695","HR 3695 6","High metal content world","Yes","3298","168229","560763","0"
"HR 3695","HR 3695 7","High metal content world","Yes","4437","164081","546936","0"
"Synuefe QE-G c27-0","Synuefe QE-G c27-0 A 3","Ammonia world","No","304","131629","438763","2"
"HIP 29830","HIP 29830 C 2","High metal content world","Yes","138503","146864","489546","1"
"HIP 29830","HIP 29830 C 3","High metal content world","Yes","138552","148329","494429","0"
"HIP 29830","HIP 29830 B 4","High metal content world","Yes","140057","155699","518996","0"
"HIP 29830","HIP 29830 B 5","Water world","Yes","140057","260390","867966","0"
"HIP 29830","HIP 29830 B 6","Water world","Yes","140079","256891","856303","0"
"HIP 29830","HIP 29830 B 7","High metal content world","Yes","140079","153614","512046","0"
"HIP 108907","HIP 108907 D 5","High metal content world","Yes","289635","153256","510853","1"
"Synuefe XV-C c29-0","Synuefe XV-C c29-0 4","Water world","No","713","118816","396053","2"
"HIP 58790","HIP 58790 B 2","High metal content world","Yes","16416","159549","531829","2"
"HIP 58790","HIP 58790 B 4","Water world","No","16555","99030","330099","0"
"IC 2602 Sector CR-V c2-0","IC 2602 Sector CR-V c2-0 1","High metal content world","Yes","343","155202","517339","2"
"HR 4885","HR 4885 A 1","Metal-rich body","No","200","31776","105919","2"
"HR 4885","HR 4885 A 2","Metal-rich body","No","201","31153","103843","0"
"HIP 62241","HIP 62241 5","High metal content world","Yes","2456","165288","550959","1"
"HIP 62241","HIP 62241 6","Water world","Yes","3374","256433","854776","0"
"HIP 61905","HIP 61905 B 7","High metal content world","Yes","31865","150074","500246","1"
"HIP 61905","HIP 61905 B 6","High metal content world","Yes","32033","147502","491673","0"
"HIP 61905","HIP 61905 B 8","High metal content world","Yes","32378","149142","497139","0"
"Praea Euq IV-Y c0","Praea Euq IV-Y c0 A 1","Metal-rich body","No","14","30456","101519","2"
"Praea Euq JV-Y c0","Praea Euq JV-Y c0 A 4","High metal content world","Yes","323","151291","504303","1"
"Praea Euq JV-Y c0","Praea Euq JV-Y c0 A 5","High metal content world","Yes","428","157049","523496","0"
"Praea Euq JV-Y c0","Praea Euq JV-Y c0 A 6","High metal content world","Yes","594","152895","509649","0"
"Musca Dark Region BL-X c1-0","Musca Dark Region BL-X c1-0 1","High metal content world","Yes","279","158163","527209","2"
"Musca Dark Region BL-X c1-0","Musca Dark Region BL-X c1-0 2","High metal content world","Yes","420","151017","503389","0"
"Musca Dark Region DG-X c1-0","Musca Dark Region DG-X c1-0 A 2","High metal content world","Yes","275","148537","495123","1"
"Praea Euq GP-A c0","Praea Euq GP-A c0 1","High metal content world","Yes","302","162051","540169","2"
"Wregoe AY-X c28-0","Wregoe AY-X c28-0 AB 1","Water world","Yes","155","277457","924856","1"
"HIP 54411","HIP 54411 3","High metal content world","Yes","2225","164063","546876","2"
"HIP 58148","HIP 58148 AB 7","High metal content world","Yes","3178","186566","621886","3"
"Wregoe TH-Y c28-0","Wregoe TH-Y c28-0 A 5","Water world","No","160","95970","319899","2"
"Wregoe TH-Y c28-0","Wregoe TH-Y c28-0 A 6","Water world","No","200","91140","303799","0"
"HIP 56640","HIP 56640 A 3","High metal content world","Yes","1515","184509","615029","2"
"HIP 56640","HIP 56640 A 4","Water world","Yes","2204","294490","981633","0"
"Wregoe GP-D c26-0","Wregoe GP-D c26-0 1","High metal content world","Yes","381","150676","502253","2"
"HIP 55328","HIP 55328 1","High metal content world","Yes","1516","174266","580886","1"
"HIP 55328","HIP 55328 2","High metal content world","Yes","1517","167157","557189","0"
"HIP 55328","HIP 55328 3","High metal content world","Yes","2134","173694","578979","0"
"HIP 55328","HIP 55328 4","High metal content world","Yes","2136","164442","548139","0"
"HIP 55328","HIP 55328 6","Water world","Yes","2542","258606","862019","0"
"HIP 55328","HIP 55328 5","High metal content world","Yes","2543","160381","534603","0"
"Wregoe BO-F c25-0","Wregoe BO-F c25-0 B 3","High metal content world","Yes","10203","149064","496879","1"
"Wregoe AT-F c25-0","Wregoe AT-F c25-0 A 2","High metal content world","Yes","307","153239","510796","1"
"Wregoe AT-F c25-0","Wregoe AT-F c25-0 A 3","High metal content world","Yes","559","148374","494579","0"
"HIP 53675","HIP 53675 5","High metal content world","Yes","2125","190134","633779","1"
"HIP 53037","HIP 53037 5","Water world","No","4001","114973","383243","1"
"HR 3908","HR 3908 A 6","High metal content world","Yes","3332","167589","558629","3"
"HR 3908","HR 3908 B 3","Water world","No","29143","100393","334643","0"
"HR 3908","HR 3908 B 2","Water world","No","29727","98589","328629","0"
"HR 3908","HR 3908 B 1","Water world","No","30087","98265","327549","0"
"HIP 50188","HIP 50188 A 2","Metal-rich body","No","46","34808","116026","2"
"HIP 50188","HIP 50188 A 3","Metal-rich body","No","83","36242","120806","0"
"Wregoe YR-I c23-0","Wregoe YR-I c23-0 4","High metal content world","Yes","220","156445","521483","2"
"Wregoe YR-I c23-0","Wregoe YR-I c23-0 3","High metal content world","Yes","221","162838","542793","0"
"Wregoe YR-I c23-0","Wregoe YR-I c23-0 5","High metal content world","Yes","300","162060","540199","0"
"Wregoe XR-I c23-0","Wregoe XR-I c23-0 A 2","High metal content world","Yes","372","167259","557529","1"
"Wregoe XR-I c23-0","Wregoe XR-I c23-0 A 6","Ammonia world","No","1031","135596","451986","0"
"HIP 50638","HIP 50638 4","High metal content world","Yes","1063","166562","555206","1"
"HIP 50638","HIP 50638 5","Water world","Yes","1491","279783","932609","0"
"Wregoe WH-H c24-0","Wregoe WH-H c24-0 1","Metal-rich body","No","10","32135","107116","2"
"Wregoe NA-L c22-0","Wregoe NA-L c22-0 6","Water world","No","173","91271","304236","2"
"HR 4092","HR 4092 BC 6","Class II gas giant","No","141491","30742","102473","1"
"HIP 49221","HIP 49221 6","Water world","Yes","3044","300115","1000383","2"
"HIP 49221","HIP 49221 7","Water world","No","4218","112512","375039","0"
"HIP 48602","HIP 48602 A 3","High metal content world","Yes","581","155470","518233","2"
"HIP 48602","HIP 48602 A 2","High metal content world","Yes","582","156356","521186","0"
"HIP 48602","HIP 48602 A 4","Water world","Yes","788","257878","859593","0"
"HIP 48602","HIP 48602 B 4","High metal content world","Yes","9174","150126","500419","0"
"HIP 48602","HIP 48602 B 5","Water world","Yes","9341","256176","853919","0"
"HIP 47171","HIP 47171 5","High metal content world","Yes","440","174857","582856","1"
"HIP 47171","HIP 47171 6","High metal content world","Yes","591","180864","602879","0"
"HIP 47171","HIP 47171 7","High metal content world","Yes","779","187413","624709","0"
"Wregoe DY-P c19-0","Wregoe DY-P c19-0 2","Water world","No","577","93555","311849","2"
"HIP 46235","HIP 46235 A 2","Metal-rich body","No","62","36188","120626","2"
"HIP 46235","HIP 46235 A 3","Metal-rich body","No","98","36129","120429","0"
"HIP 48989","HIP 48989 4","High metal content world","Yes","1887","176235","587449","2"
"HR 3938","HR 3938 C 5","High metal content world","Yes","5431","155680","518933","1"
"HR 3938","HR 3938 C 6","High metal content world","Yes","5635","147893","492976","0"
"HR 3938","HR 3938 C 7","High metal content world","Yes","5728","150102","500339","0"
"HIP 51458","HIP 51458 A 6","Water world","No","3339","105817","352723","2"
"HIP 51458","HIP 51458 B 1","Metal-rich body","No","18024","30501","101669","0"
"HIP 50958","HIP 50958 8","High metal content world","Yes","3549","161445","538149","1"
"HIP 53464","HIP 53464 5","Water world","No","356","114656","382186","2"
"HIP 52893","HIP 52893 B 2","Metal-rich body","No","1565","30544","101813","2"
"HIP 52893","HIP 52893 B 1","Metal-rich body","No","1622","31460","104866","0"
"HIP 55799","HIP 55799 1","Metal-rich body","No","9","34522","115073","1"
"HIP 55799","HIP 55799 2 g","Rocky body","Yes","1281","127021","423403","0"
"HIP 55799","HIP 55799 4","Ammonia world","No","2056","185296","617653","0"
"HIP 58098","HIP 58098 A 1","Metal-rich body","No","10","32433","108109","2"
"HIP 58098","HIP 58098 A 2","High metal content world","Yes","486","189742","632473","0"
"HIP 57868","HIP 57868 2","Class II gas giant","No","1679","30149","100496","1"
"HIP 59646","HIP 59646 1","Metal-rich body","No","65","32696","108986","1"
"HIP 59646","HIP 59646 6","High metal content world","Yes","1148","176761","589203","0"
"HIP 59646","HIP 59646 8","Water world","No","2780","119424","398079","0"
"HIP 60820","HIP 60820 1","Metal-rich body","No","43","33603","112009","2"
"HIP 62096","HIP 62096 B 2","Metal-rich body","No","21391","33739","112463","2"
"HIP 62096","HIP 62096 B 1","Metal-rich body","No","21441","33148","110493","0"
"HIP 62878","HIP 62878 5","Water world","No","1905","111075","370249","1"
"HIP 62447","HIP 62447 7","High metal content world","Yes","3586","186956","623186","2"
"HR 5117","HR 5117 11","High metal content world","Yes","4233","180774","602579","2"
"HIP 67424","HIP 67424 6","High metal content world","Yes","870","188532","628439","1"
"HR 5121","HR 5121 A 1","Metal-rich body","No","209","34779","115929","1"
"HR 5121","HR 5121 B 4","Water world","Yes","272256","266503","888343","0"
"HR 5121","HR 5121 B 3","High metal content world","Yes","272411","159357","531189","0"
"HR 5121","HR 5121 B 2","High metal content world","Yes","273805","171455","571516","0"
"HIP 69175","HIP 69175 A 8","High metal content world","Yes","1146","192022","640073","1"
"HIP 69175","HIP 69175 A 9","High metal content world","Yes","1553","186254","620846","0"
"HIP 69175","HIP 69175 A 10","Water world","Yes","2105","301139","1003796","0"
"HR 5380","HR 5380 1","Metal-rich body","No","173","34592","115306","1"
"HIP 70340","HIP 70340 1","High metal content world","Yes","620","177277","590923","1"
"HIP 70340","HIP 70340 2","High metal content world","Yes","779","170174","567246","0"
"HIP 70340","HIP 70340 3","Water world","Yes","1018","285802","952673","0"
"HIP 70925","HIP 70925 AB 1","Class II gas giant","No","5550","30093","100309","1"
"Praea Euq UX-U c2-0","Praea Euq UX-U c2-0 A 1","Water world","Yes","154","292230","974099","1"
"HIP 65021","HIP 65021 A 1","Metal-rich body","No","251","35773","119243","2"
"HIP 65021","HIP 65021 A 2","Metal-rich body","No","312","36614","122046","0"
"HIP 66206","HIP 66206 7","Water world","No","3566","124399","414663","2"
"Musca Dark Region HH-V c2-0","Musca Dark Region HH-V c2-0 A 1","High metal content world","Yes","241","147948","493159","1"
"Musca Dark Region HH-V c2-0","Musca Dark Region HH-V c2-0 A 3","High metal content world","Yes","338","147744","492479","0"
"Musca Dark Region HH-V c2-0","Musca Dark Region HH-V c2-0 A 2","High metal content world","Yes","339","151424","504746","0"
"HR 5713","HR 5713 A 1","Metal-rich body","No","188","30878","102926","2"
"Synuefe RF-D c29-0","Synuefe RF-D c29-0 8","Water world","No","195","112795","375983","1"
